PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=254 ttl=64 time=0.346 ms
64 bytes from 10.0.0.3: icmp_seq=255 ttl=64 time=0.174 ms
64 bytes from 10.0.0.3: icmp_seq=256 ttl=64 time=0.184 ms
64 bytes from 10.0.0.3: icmp_seq=257 ttl=64 time=0.170 ms
64 bytes from 10.0.0.3: icmp_seq=258 ttl=64 time=0.178 ms
64 bytes from 10.0.0.3: icmp_seq=259 ttl=64 time=0.181 ms
64 bytes from 10.0.0.3: icmp_seq=260 ttl=64 time=0.579 ms
64 bytes from 10.0.0.3: icmp_seq=261 ttl=64 time=0.146 ms
64 bytes from 10.0.0.3: icmp_seq=262 ttl=64 time=0.149 ms
64 bytes from 10.0.0.3: icmp_seq=263 ttl=64 time=0.194 ms
64 bytes from 10.0.0.3: icmp_seq=264 ttl=64 time=0.733 ms
64 bytes from 10.0.0.3: icmp_seq=265 ttl=64 time=0.513 ms
64 bytes from 10.0.0.3: icmp_seq=266 ttl=64 time=0.192 ms
64 bytes from 10.0.0.3: icmp_seq=267 ttl=64 time=0.255 ms
64 bytes from 10.0.0.3: icmp_seq=268 ttl=64 time=0.352 ms
64 bytes from 10.0.0.3: icmp_seq=269 ttl=64 time=0.140 ms
64 bytes from 10.0.0.3: icmp_seq=270 ttl=64 time=0.144 ms
64 bytes from 10.0.0.3: icmp_seq=271 ttl=64 time=0.138 ms
64 bytes from 10.0.0.3: icmp_seq=272 ttl=64 time=0.187 ms
64 bytes from 10.0.0.3: icmp_seq=273 ttl=64 time=0.251 ms
64 bytes from 10.0.0.3: icmp_seq=274 ttl=64 time=0.131 ms
64 bytes from 10.0.0.3: icmp_seq=275 ttl=64 time=0.141 ms
64 bytes from 10.0.0.3: icmp_seq=276 ttl=64 time=0.214 ms
64 bytes from 10.0.0.3: icmp_seq=277 ttl=64 time=0.148 ms
64 bytes from 10.0.0.3: icmp_seq=278 ttl=64 time=0.147 ms
64 bytes from 10.0.0.3: icmp_seq=279 ttl=64 time=2.14 ms
64 bytes from 10.0.0.3: icmp_seq=280 ttl=64 time=0.197 ms
64 bytes from 10.0.0.3: icmp_seq=281 ttl=64 time=0.127 ms
64 bytes from 10.0.0.3: icmp_seq=282 ttl=64 time=0.131 ms
64 bytes from 10.0.0.3: icmp_seq=283 ttl=64 time=0.136 ms
64 bytes from 10.0.0.3: icmp_seq=284 ttl=64 time=0.187 ms
64 bytes from 10.0.0.3: icmp_seq=285 ttl=64 time=0.218 ms
64 bytes from 10.0.0.3: icmp_seq=286 ttl=64 time=0.141 ms
64 bytes from 10.0.0.3: icmp_seq=287 ttl=64 time=0.128 ms
64 bytes from 10.0.0.3: icmp_seq=288 ttl=64 time=0.156 ms
64 bytes from 10.0.0.3: icmp_seq=289 ttl=64 time=0.141 ms
64 bytes from 10.0.0.3: icmp_seq=290 ttl=64 time=0.138 ms
64 bytes from 10.0.0.3: icmp_seq=291 ttl=64 time=0.181 ms
64 bytes from 10.0.0.3: icmp_seq=292 ttl=64 time=0.129 ms
64 bytes from 10.0.0.3: icmp_seq=293 ttl=64 time=0.134 ms
64 bytes from 10.0.0.3: icmp_seq=294 ttl=64 time=0.202 ms
64 bytes from 10.0.0.3: icmp_seq=295 ttl=64 time=0.138 ms
64 bytes from 10.0.0.3: icmp_seq=296 ttl=64 time=0.235 ms
64 bytes from 10.0.0.3: icmp_seq=297 ttl=64 time=0.139 ms
64 bytes from 10.0.0.3: icmp_seq=298 ttl=64 time=0.139 ms
64 bytes from 10.0.0.3: icmp_seq=299 ttl=64 time=0.131 ms
64 bytes from 10.0.0.3: icmp_seq=300 ttl=64 time=0.166 ms
64 bytes from 10.0.0.3: icmp_seq=301 ttl=64 time=0.137 ms
64 bytes from 10.0.0.3: icmp_seq=302 ttl=64 time=0.151 ms
64 bytes from 10.0.0.3: icmp_seq=303 ttl=64 time=0.155 ms
64 bytes from 10.0.0.3: icmp_seq=304 ttl=64 time=0.132 ms
