PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=280 ttl=64 time=0.130 ms
64 bytes from 10.0.0.3: icmp_seq=281 ttl=64 time=0.181 ms
64 bytes from 10.0.0.3: icmp_seq=282 ttl=64 time=0.386 ms
64 bytes from 10.0.0.3: icmp_seq=283 ttl=64 time=0.193 ms
64 bytes from 10.0.0.3: icmp_seq=284 ttl=64 time=0.212 ms
64 bytes from 10.0.0.3: icmp_seq=285 ttl=64 time=0.311 ms
64 bytes from 10.0.0.3: icmp_seq=286 ttl=64 time=0.209 ms
64 bytes from 10.0.0.3: icmp_seq=287 ttl=64 time=0.151 ms
64 bytes from 10.0.0.3: icmp_seq=288 ttl=64 time=0.211 ms
64 bytes from 10.0.0.3: icmp_seq=289 ttl=64 time=0.133 ms
64 bytes from 10.0.0.3: icmp_seq=290 ttl=64 time=0.168 ms
64 bytes from 10.0.0.3: icmp_seq=291 ttl=64 time=0.258 ms
64 bytes from 10.0.0.3: icmp_seq=292 ttl=64 time=0.201 ms
64 bytes from 10.0.0.3: icmp_seq=293 ttl=64 time=0.164 ms
64 bytes from 10.0.0.3: icmp_seq=294 ttl=64 time=1.37 ms
64 bytes from 10.0.0.3: icmp_seq=295 ttl=64 time=0.515 ms
64 bytes from 10.0.0.3: icmp_seq=296 ttl=64 time=0.508 ms
64 bytes from 10.0.0.3: icmp_seq=297 ttl=64 time=0.331 ms
64 bytes from 10.0.0.3: icmp_seq=298 ttl=64 time=0.365 ms
64 bytes from 10.0.0.3: icmp_seq=299 ttl=64 time=0.156 ms
64 bytes from 10.0.0.3: icmp_seq=300 ttl=64 time=0.196 ms
64 bytes from 10.0.0.3: icmp_seq=301 ttl=64 time=0.199 ms
64 bytes from 10.0.0.3: icmp_seq=302 ttl=64 time=0.155 ms
64 bytes from 10.0.0.3: icmp_seq=303 ttl=64 time=0.201 ms
64 bytes from 10.0.0.3: icmp_seq=304 ttl=64 time=0.228 ms
64 bytes from 10.0.0.3: icmp_seq=305 ttl=64 time=0.142 ms
64 bytes from 10.0.0.3: icmp_seq=306 ttl=64 time=0.536 ms
64 bytes from 10.0.0.3: icmp_seq=307 ttl=64 time=0.550 ms
64 bytes from 10.0.0.3: icmp_seq=308 ttl=64 time=0.521 ms
64 bytes from 10.0.0.3: icmp_seq=309 ttl=64 time=0.255 ms
64 bytes from 10.0.0.3: icmp_seq=310 ttl=64 time=0.226 ms
64 bytes from 10.0.0.3: icmp_seq=311 ttl=64 time=0.407 ms
64 bytes from 10.0.0.3: icmp_seq=312 ttl=64 time=0.221 ms
64 bytes from 10.0.0.3: icmp_seq=313 ttl=64 time=0.222 ms
64 bytes from 10.0.0.3: icmp_seq=314 ttl=64 time=0.242 ms
64 bytes from 10.0.0.3: icmp_seq=315 ttl=64 time=0.191 ms
64 bytes from 10.0.0.3: icmp_seq=316 ttl=64 time=0.260 ms
64 bytes from 10.0.0.3: icmp_seq=317 ttl=64 time=0.260 ms
64 bytes from 10.0.0.3: icmp_seq=318 ttl=64 time=0.533 ms
64 bytes from 10.0.0.3: icmp_seq=319 ttl=64 time=0.258 ms
64 bytes from 10.0.0.3: icmp_seq=320 ttl=64 time=0.435 ms
64 bytes from 10.0.0.3: icmp_seq=321 ttl=64 time=0.543 ms
64 bytes from 10.0.0.3: icmp_seq=322 ttl=64 time=0.309 ms
64 bytes from 10.0.0.3: icmp_seq=323 ttl=64 time=0.502 ms
64 bytes from 10.0.0.3: icmp_seq=324 ttl=64 time=0.213 ms
64 bytes from 10.0.0.3: icmp_seq=325 ttl=64 time=0.233 ms
64 bytes from 10.0.0.3: icmp_seq=326 ttl=64 time=2.27 ms
64 bytes from 10.0.0.3: icmp_seq=327 ttl=64 time=0.251 ms
64 bytes from 10.0.0.3: icmp_seq=328 ttl=64 time=0.244 ms
64 bytes from 10.0.0.3: icmp_seq=329 ttl=64 time=0.134 ms
64 bytes from 10.0.0.3: icmp_seq=330 ttl=64 time=0.137 ms
64 bytes from 10.0.0.3: icmp_seq=331 ttl=64 time=0.222 ms
64 bytes from 10.0.0.3: icmp_seq=332 ttl=64 time=0.156 ms
64 bytes from 10.0.0.3: icmp_seq=333 ttl=64 time=0.162 ms
64 bytes from 10.0.0.3: icmp_seq=334 ttl=64 time=0.291 ms
64 bytes from 10.0.0.3: icmp_seq=335 ttl=64 time=0.151 ms
64 bytes from 10.0.0.3: icmp_seq=336 ttl=64 time=0.168 ms
64 bytes from 10.0.0.3: icmp_seq=337 ttl=64 time=0.279 ms
64 bytes from 10.0.0.3: icmp_seq=338 ttl=64 time=0.254 ms
64 bytes from 10.0.0.3: icmp_seq=339 ttl=64 time=0.136 ms
64 bytes from 10.0.0.3: icmp_seq=340 ttl=64 time=0.273 ms
64 bytes from 10.0.0.3: icmp_seq=341 ttl=64 time=0.146 ms
64 bytes from 10.0.0.3: icmp_seq=342 ttl=64 time=0.260 ms
64 bytes from 10.0.0.3: icmp_seq=343 ttl=64 time=0.130 ms
64 bytes from 10.0.0.3: icmp_seq=344 ttl=64 time=0.158 ms
64 bytes from 10.0.0.3: icmp_seq=345 ttl=64 time=0.137 ms
64 bytes from 10.0.0.3: icmp_seq=346 ttl=64 time=0.483 ms
64 bytes from 10.0.0.3: icmp_seq=347 ttl=64 time=0.280 ms
64 bytes from 10.0.0.3: icmp_seq=348 ttl=64 time=3.76 ms
64 bytes from 10.0.0.3: icmp_seq=349 ttl=64 time=0.150 ms
64 bytes from 10.0.0.3: icmp_seq=350 ttl=64 time=0.165 ms
64 bytes from 10.0.0.3: icmp_seq=351 ttl=64 time=0.142 ms
